fecha_acta,acta_numero,acta_periodo,superficie,etapa,long,lat,calle_nombre,calle_altura,barrio,comuna,codigo_postal,codigo_postal_argentino
2019-02-21,184133,2019,0.0,Albañilería,-58.507226,-34.592064,LLAVALLOL 4489,4489,Villa Devoto,Comuna 11,1419.0,C1419AKI
2019-05-28,199089,2019,0.0,Albañilería,-58.507226,-34.592064,LLAVALLOL 4489,4489,Villa Devoto,Comuna 11,1419.0,C1419AKI
2019-04-26,52491,2018,0.0,Albañilería,-58.501919,-34.598025,LLAVALLOL 3650,3650,Villa Devoto,Comuna 11,1419.0,C1419AJD
2019-04-05,195399,2019,0.0,Albañilería,-58.501919,-34.598025,LLAVALLOL 3650,3650,Villa Devoto,Comuna 11,1419.0,C1419AJD
2019-03-27,192743,2019,0.0,Estructura en elevación,-58.490446,-34.610893,LLAVALLOL 2126,2126,Villa Del Parque,Comuna 11,1417.0,C1417AEB
2019-05-22,195992,2019,0.0,Estructura en elevación,-58.490446,-34.610893,LLAVALLOL 2126,2126,Villa Del Parque,Comuna 11,1417.0,C1417AEB
2019-04-10,177664,2018,0.0,Terminaciones,-58.486406,-34.616013,LLAVALLOL 1660,1660,Villa Santa Rita,Comuna 11,1407.0,C1407DWD
2019-05-03,199324,2019,0.0,Terminaciones,-58.486406,-34.616013,LLAVALLOL 1660,1660,Villa Santa Rita,Comuna 11,1407.0,C1407DWD
2019-04-10,199325,2019,0.0,Terminaciones,-58.486406,-34.616013,LLAVALLOL 1660,1660,Villa Santa Rita,Comuna 11,1407.0,C1407DWD
2019-01-15,173165,2018,0.0,Albañilería,-58.490362,-34.577222,LITUANIA 5463,5463,Villa Urquiza,Comuna 12,1431.0,C1431CFA
2019-04-30,192684,2019,0.0,Albañilería,-58.490362,-34.577222,LITUANIA 5463,5463,Villa Urquiza,Comuna 12,1431.0,C1431CFA
2019-01-24,180740,2019,0.0,Albañilería,-58.490362,-34.577222,LITUANIA 5463,5463,Villa Urquiza,Comuna 12,1431.0,C1431CFA
2019-03-14,182420,2019,0.0,Albañilería,-58.490362,-34.577222,LITUANIA 5463,5463,Villa Urquiza,Comuna 12,1431.0,C1431CFA
2019-01-21,169713,2018,0.0,Otros,-58.526727,-34.616839,"LISTA, RAMON, CORONEL 5550",5550,Villa Real,Comuna 10,1408.0,C1408BKF
2019-01-29,173190,2018,0.0,Albañilería,-58.525705,-34.61593,"LISTA, RAMON, CORONEL 5450",5450,Villa Real,Comuna 10,1408.0,C1408BKD
2019-03-07,183412,2019,0.0,Albañilería,-58.525705,-34.61593,"LISTA, RAMON, CORONEL 5450",5450,Villa Real,Comuna 10,1408.0,C1408BKD
2019-06-03,191056,2019,0.0,Albañilería,-58.525705,-34.61593,"LISTA, RAMON, CORONEL 5450",5450,Villa Real,Comuna 10,1408.0,C1408BKD
2019-06-03,210551,2019,0.0,Albañilería,-58.525705,-34.61593,"LISTA, RAMON, CORONEL 5450",5450,Villa Real,Comuna 10,1408.0,C1408BKD
2019-01-21,180215,2018,0.0,Albañilería,-58.525263,-34.615541,"LISTA, RAMON, CORONEL 5400",5400,Villa Real,Comuna 10,1408.0,C1408BKB
2019-02-05,181625,2019,0.0,Albañilería,-58.525263,-34.615541,"LISTA, RAMON, CORONEL 5400",5400,Villa Real,Comuna 10,1408.0,C1408BKB
2019-03-19,184893,2019,0.0,Albañilería,-58.525263,-34.615541,"LISTA, RAMON, CORONEL 5400",5400,Villa Real,Comuna 10,1408.0,C1408BKB
2019-02-05,51399,2018,0.0,Albañilería,-58.525263,-34.615541,"LISTA, RAMON, CORONEL 5400",5400,Villa Real,Comuna 10,1408.0,C1408BKB
2019-01-03,173195,2018,0.0,Otros,-58.523453,-34.613819,"LISTA, RAMON, CORONEL 5231",5231,Villa Devoto,Comuna 11,1417.0,C1417FAE
2019-01-29,178788,2018,0.0,Otros,-58.523453,-34.613819,"LISTA, RAMON, CORONEL 5231",5231,Villa Devoto,Comuna 11,1417.0,C1417FAE
2019-04-04,183420,2019,0.0,Otros,-58.523453,-34.613819,"LISTA, RAMON, CORONEL 5231",5231,Villa Devoto,Comuna 11,1417.0,C1417FAE
2019-01-30,183421,2019,0.0,Otros,-58.523453,-34.613819,"LISTA, RAMON, CORONEL 5231",5231,Villa Devoto,Comuna 11,1417.0,C1417FAE
2019-05-09,169411,2018,0.0,Hormigon,-58.52192700000001,-34.61257,"LISTA, RAMON, CORONEL 5130",5130,Villa Devoto,Comuna 11,1417.0,C1417FAD
2019-01-21,177047,2018,0.0,Hormigon,-58.52192700000001,-34.61257,"LISTA, RAMON, CORONEL 5126",5126,Villa Devoto,Comuna 11,1417.0,C1417FAD
2019-02-12,181627,2019,0.0,Hormigon,-58.52192700000001,-34.61257,"LISTA, RAMON, CORONEL 5126",5126,Villa Devoto,Comuna 11,1417.0,C1417FAD
2019-04-16,186491,2019,0.0,Hormigon,-58.52192700000001,-34.61257,"LISTA, RAMON, CORONEL 5126",5126,Villa Devoto,Comuna 11,1417.0,C1417FAD
2019-01-25,49588,2018,1.0,Otros,-58.520681,-34.626997,LISBOA 849,849,Versalles,Comuna 10,1408.0,C1408CDI
2019-02-26,182833,2019,0.0,Otros,-58.520681,-34.626997,LISBOA 849,849,Versalles,Comuna 10,1408.0,C1408CDI
2019-04-04,189541,2019,0.0,Otros,-58.520681,-34.626997,LISBOA 849,849,Versalles,Comuna 10,1408.0,C1408CDI
2019-05-22,197774,2019,0.0,Otros,-58.520681,-34.626997,LISBOA 849,849,Versalles,Comuna 10,1408.0,C1408CDI
2019-02-18,173283,2018,0.0,Otros,-58.411954,-34.637163,LINIERS VIRREY 2301,2301,Boedo,Comuna 5,1241.0,C1241ABW
2019-04-03,187798,2019,0.0,Otros,-58.411954,-34.637163,LINIERS VIRREY 2301,2301,Boedo,Comuna 5,1241.0,C1241ABW
2019-05-23,197585,2019,0.0,Otros,-58.411954,-34.637163,LINIERS VIRREY 2301,2301,Boedo,Comuna 5,1241.0,C1241ABW
2019-02-08,178201,2018,0.0,Albañilería,-58.414673,-34.613363,LINIERS VIRREY 218,218,Almagro,Comuna 5,1174.0,C1174ACF
2019-01-31,178204,2018,0.0,Albañilería,-58.414673,-34.613363,LINIERS VIRREY 218,218,Almagro,Comuna 5,1174.0,C1174ACF
2019-03-12,185672,2019,0.0,Albañilería,-58.414673,-34.613363,LINIERS VIRREY 218,218,Almagro,Comuna 5,1174.0,C1174ACF
2019-05-16,192196,2019,0.0,Albañilería,-58.414673,-34.613363,LINIERS VIRREY 218,218,Almagro,Comuna 5,1174.0,C1174ACF
2019-02-08,177660,2018,0.0,Otros,-58.41263000000001,-34.634433,LINIERS VIRREY 1994,1994,Boedo,Comuna 5,1241.0,C1241ABP
2019-01-04,174883,2018,0.0,Terminaciones,-58.41305,-34.631539000000004,LINIERS VIRREY 1763,1763,Boedo,Comuna 5,1241.0,C1241ABK
2019-01-16,179131,2018,0.0,Terminaciones,-58.41305,-34.631539000000004,LINIERS VIRREY 1763,1763,Boedo,Comuna 5,1241.0,C1241ABK
2019-06-03,207489,2019,0.0,Terminaciones,-58.41305,-34.631539000000004,LINIERS VIRREY 1763,1763,Boedo,Comuna 5,1241.0,C1241ABK
